gewerk,company,contact_name,email,phone,address
Tiefbau,Mustermann Tiefbau GmbH,Hans Müller,info@mustermann-tiefbau.de,+49 791 11111,"Hauptstr 1, 74523 Schwäbisch Hall"
Rohbau,Beispiel Rohbau GmbH,Peter Beispiel,kontakt@beispiel-rohbau.de,+49 791 11112,"Hauptstr 2, 74523 Schwäbisch Hall"
Maler,Mustermann Maler GmbH,Hans Mustermann,info@mustermann-maler.de,+49 791 12345,"Hauptstr 3, 74523 Schwäbisch Hall"
Elektro,Beispiel Elektro GmbH,Karl Beispiel,info@beispiel-elektro.de,+49 791 11114,"Hauptstr 4, 74523 Schwäbisch Hall"
Sanitär/Heizung,Mustermann Sanitär GmbH,Otto Mustermann,info@mustermann-sanitaer.de,+49 791 11115,"Hauptstr 5, 74523 Schwäbisch Hall"
Trockenbau,Beispiel Trockenbau GmbH,Anna Beispiel,info@beispiel-trockenbau.de,+49 791 11116,"Hauptstr 6, 74523 Schwäbisch Hall"
Fliesenleger,Mustermann Fliesen GmbH,Sabine Müller,info@mustermann-fliesen.de,+49 791 11117,"Hauptstr 7, 74523 Schwäbisch Hall"
Estrich,Beispiel Estrich GmbH,Klaus Beispiel,info@beispiel-estrich.de,+49 791 11118,"Hauptstr 8, 74523 Schwäbisch Hall"
Parkett,Mustermann Parkett GmbH,Marlene Müller,info@mustermann-parkett.de,+49 791 11119,"Hauptstr 9, 74523 Schwäbisch Hall"
Türen,Beispiel Türen GmbH,Frank Beispiel,info@beispiel-tueren.de,+49 791 11120,"Hauptstr 10, 74523 Schwäbisch Hall"
Schreiner,Mustermann Schreinerei,Werner Müller,info@mustermann-schreiner.de,+49 791 11121,"Hauptstr 11, 74523 Schwäbisch Hall"
Schlosser,Beispiel Schlosserei,Brigitte Beispiel,info@beispiel-schlosser.de,+49 791 11122,"Hauptstr 12, 74523 Schwäbisch Hall"
Fenster,Mustermann Fensterbau,Heinz Müller,info@mustermann-fenster.de,+49 791 11123,"Hauptstr 13, 74523 Schwäbisch Hall"
Dämmung,Beispiel Dämmtechnik,Inge Beispiel,info@beispiel-daemmung.de,+49 791 11124,"Hauptstr 14, 74523 Schwäbisch Hall"
Gerüstbau,Mustermann Gerüstbau,Jürgen Müller,info@mustermann-geruest.de,+49 791 11125,"Hauptstr 15, 74523 Schwäbisch Hall"
Flachdach,Beispiel Dachbau,Lothar Beispiel,info@beispiel-flachdach.de,+49 791 11126,"Hauptstr 16, 74523 Schwäbisch Hall"
Außenanlagen,Mustermann GaLaBau,Petra Müller,info@mustermann-galabau.de,+49 791 11127,"Hauptstr 17, 74523 Schwäbisch Hall"
Pflasterarbeiten,Beispiel Pflasterbau,Roland Beispiel,info@beispiel-pflaster.de,+49 791 11128,"Hauptstr 18, 74523 Schwäbisch Hall"
Gärtner,Mustermann Gärtnerei,Renate Müller,info@mustermann-gaertner.de,+49 791 11129,"Hauptstr 19, 74523 Schwäbisch Hall"
Aufzug,Beispiel Aufzugstechnik GmbH,Stefan Beispiel,info@beispiel-aufzug.de,+49 791 11130,"Hauptstr 20, 74523 Schwäbisch Hall"
